a,b,c,d,e,label
52,85,54,1,89,0
15,22,28,96,63,1
11,64,65,1,51,1
40,77,49,58,90,1
45,59,58,92,83,1
50,94,64,96,84,1
1,60,29,88,70,1
15,12,25,64,50,1
15,9,3,20,74,1
11,64,46,76,70,1
13,75,65,96,84,1
35,77,33,96,81,0
19,84,69,96,70,1
37,79,69,96,87,1
19,79,63,76,77,1
32,60,53,96,81,1
45,49,1,20,60,1
49,67,75,96,84,1
24,25,6,1,1,0
24,27,18,70,76,1
23,46,29,100,79,1
40,40,61,92,70,1
31,92,36,96,66,1
10,63,65,94,69,1
36,67,68,90,91,1
66,77,59,76,100,1
52,96,93,62,83,1
15,57,43,36,64,1
1,1,1,1,1,0
32,93,33,96,69,0
18,77,63,92,70,0
24,57,44,74,63,0
28,75,59,84,70,1
49,89,59,96,89,1
38,59,46,52,69,1
52,62,51,52,76,1
26,60,39,56,80,0
15,29,14,1,56,0
21,9,6,36,64,0
54,55,23,66,80,0
44,24,65,60,76,1
35,33,11,36,79,1
23,62,59,68,89,1
12,48,69,40,69,1
